rh,temp,uva,uvb,x,y,blueg,blueb,worn,pressure,timestamp,hour,minute,second,isnight
33.07666666666666,26.83,1.397,0.36352,175.0,193.0,42.0,36.0,0.0,0.9859429229377418,1650618748,11,12,28,0
33.05222222222223,26.94,1.4393333333333331,0.3772466666666667,172.72222222222223,190.61111111111111,40.66666666666666,34.72222222222222,0.0,0.9858930284837022,1650618901,11,15,1,0
33.09866666666667,26.74000000000001,1.408288888888889,0.3885119999999999,182.84444444444443,201.57777777777775,40.77777777777778,37.06666666666667,0.0,0.9858992789977246,1650619054,11,17,34,0
33.13238095238096,26.64380952380953,1.466547619047619,0.3980057142857142,189.95238095238096,208.02380952380952,42.76190476190476,38.85714285714285,0.0,0.9859372833762174,1650619240,11,20,40,0
33.17976190476191,26.70476190476191,1.517952380952381,0.4103799999999999,190.73809523809524,208.8809523809524,42.69047619047619,38.30952380952381,0.0,0.985905090879184,1650619393,11,23,13,0
33.169666666666664,26.701000000000008,1.4583833333333336,0.406404,190.03333333333333,208.7,42.6,38.3,0.0,0.9858932477999834,1650619546,11,25,46,0
33.188333333333325,26.788333333333338,1.6404166666666669,0.46434,202.5,224.5,46.0,40.5,0.0,0.9859133152397404,1650619730,11,28,50,0
33.15833333333334,27.24166666666666,1.9931944444444447,0.5519066666666665,240.33333333333331,265.72222222222223,53.80555555555556,47.86111111111112,0.0,0.985911396222277,1650619883,11,31,23,0
33.13266666666666,27.296666666666663,1.7667111111111111,0.4928346666666666,234.9111111111111,259.0444444444444,52.82222222222222,47.333333333333336,0.0,0.9859205526770293,1650620036,11,33,56,0
33.14416666666667,27.191666666666663,1.5610416666666662,0.43381,220.5,240.75,51.25,45.5,0.0,0.9859124928036843,1650620189,11,36,29,0
33.11212121212122,27.33424242424242,1.7298939393939394,0.4797018181818181,218.24242424242425,238.3939393939394,47.93939393939394,43.54545454545455,0.0,0.9858983618569112,1650620343,11,39,3,0
